ASV_ID	GB81	GB82	GB83	GB84	GB85	GB86	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86	PE81	PE82	PE83	PE84	PE85	PE86
ASV1	1531	925	2396	1352	876	2319	10451	4105	11510	0	4670	4974	1629	4452	7117	11162	6071	5335
ASV2	819	2226	1253	1162	732	2560	84332	35988	102567	71194	126361	115500	0	21655	15905	5340	14289	6240
ASV3	1053	1060	716	0	0	2426	0	10282	30371	0	16573	7375	564764	516029	627361	23019	928590	16556
ASV4	1871	848	0	0	753	0	0	0	0	0	0	0	0	0	0	0	0	15155
ASV5	64791	1484	8235	13940	3138	11089	40799	0	0	8009	0	8604	369489	1748574	104985	415548	782671	182623
ASV7	0	1893	568	0	0	0	6068051	2528102	5545086	1292195	2492415	1153430	0	20072	5612	0	0	0
ASV8	1403	2755	3222	0	0	0	0	0	0	0	0	0	104769	1975417	109954	25038	138207	25853
ASV9	2456	7295	14202	0	4686	68729	0	0	0	0	0	0	13996	0	68525	29211	25051	38927
ASV10	1403	848	37117	2323	1632	6815	0	0	0	0	5872	0	6265	42931	9301	6731	73489	0
ASV11	10999	3154	12361	0	6425	2613	1129247	1459121	16188550	4103252	11535731	4743814	229138	50603	522528	449989	371009	81111
ASV12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13	20606	0	3410	5005	8815	0	0	0	0	0	9166	0	70772	0	0	0	26102	0
ASV14	0	0	0	0	0	0	0	0	0	0	0	0	48052	197868	67112	295878	233660	8023
ASV15	4776	3091	10164	4001	3514	99993	1959293	1628637	5162382	585209	460836	268022	0	29589	20364	6125	21875	84838
ASV16	48438	10015	17962	36399	18742	93794	56394	59342	0	129754	11723	32851	50540	10745	69417	17275	38635	102221
ASV17	0	0	0	0	0	0	0	0	30016	14782	13139	0	0	0	0	0	0	0
ASV19	0	865	0	645	732	0	512717	379530	755266	177787	577757	371138	0	0	4608	0	0	2526
ASV20	5592	4662	11869	32586	3121	11046	343502	64017	0	30202	107318	83345	74185	32248	20713	52263	39332	45304
ASV21	71146	3659	66919	26210	26147	67106	34844	10938	19981	8594	0	9711	43955	10964	20780	38941	51304	35780
ASV22	0	0	0	0	200	0	0	0	0	0	0	23037	0	2038	0	0	0	2646
ASV23	8460	4822	557	0	4978	3908	588254	96223	414930	165548	82820	326946	7931	36532	15905	7852	0	16492
ASV24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV25	0	0	779	0	0	0	827025	493274	1741516	175445	795009	349932	7485	0	0	2813	0	0
ASV26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV27	0	0	0	0	0	0	41390	19015	56412	37768	52828	0	0	0	0	0	0	0
ASV30	0	2596	0	1162	2636	4043	0	0	0	0	9135	0	3445300	18214728	2998439	5904829	26729293	928906
ASV31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV32	0	0	0	0	0	0	163490	0	211195	420318	571516	295789	0	0	0	0	0	0
ASV33	0	0	0	0	0	0	0	0	0	3701	0	0	3105767	62346	6002701	2987338	5528019	835748
ASV34	0	0	0	0	0	0	20356	0	0	0	13851	4408	0	0	5300	0	0	0
ASV35	0	0	1109	0	0	1670	64557	163191	240946	63818	218662	47645	4404	0	0	0	0	0
ASV36	0	0	0	0	0	0	0	0	0	0	0	2068	158462	159501	177193	36128	387262	2143
ASV37	0	0	0	0	0	0	0	0	0	0	0	0	86107	115334	130339	0	179186	0
ASV38	0	676	4651	7290	1334	1637	0	0	0	5434	0	0	0	0	12909	12494	5250	9654
ASV39	2165	32456	18576	10984	36641	124687	10820	0	13112	11293	70156	0	0	40054	31515	69425	82567	23680
ASV40	5731	0	2387	3319	0	24142	0	0	0	0	0	0	0	0	0	0	0	0
ASV41	0	0	0	0	0	0	2395755	1512772	2499475	598629	919043	429394	0	0	0	0	0	0
ASV42	0	0	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV43	0	4029	20964	8267	2468	0	0	0	103196	0	0	7470	0	0	211608	0	26958	0
ASV44	1080	783	992	3014	1565	587	35424	15708	21773	2760	1205	1857	0	0	7177	0	4608	0
ASV45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV47	1392	14383	2415	2634	6126	6738	0	0	0	0	0	33521	0	0	0	18589	0	0
ASV48	1007	1140	514	1111	540	1243	28625	8159	57321	2832	6551	6491	3728	4776	25495	0	8784	0
ASV49	561	0	0	0	200	0	6379	0	5109	0	0	0	4428169	0	6028008	0	2196227	0
ASV50	0	0	0	0	0	0	0	0	0	0	0	0	178213	841557	489632	647821	502249	652998
