	GB21	GB22	GB23	GB24	GB25	GB26
Comamonadaceae	3505012	441949	567044	493001	1303968	218993
No_Rank	76591	21272	11947	10796	42896	6186
Rhodocyclaceae	373413	30612	103457	56484	129247	26800
67-14	3448	0	0	390	0	0
Unassigned	8286	1836	1981	2149	6599	345
Rhizobiaceae	6976	1139	1303	2707	4545	289
Bdellovibrionaceae	15489	3358	4002	7171	15787	1582
uncultured	9113	7073	2084	4510	7978	832
Xanthobacteraceae	3313	0	725	181	543	0
Solimonadaceae	191	9157	2338	1170	13028	194
Solirubrobacteraceae	4579	382	0	0	7389	0
Pirellulaceae	1000	1252	639	320	0	0
Burkholderiaceae	32143	18133	19193	17685	105882	48134
Hyphomonadaceae	255	2337	260	4136	2333	258
Chitinophagaceae	30882	1699	2731	2108	9873	520
Hyphomicrobiaceae	610	0	624	390	622	0
Bacteriovoracaceae	21367	6296	4484	2341	22557	2709
Nitrospiraceae	4197	0	1560	390	778	774
Syntrophomonadaceae	0	0	0	0	0	0
Saprospiraceae	3189	0	1233	0	2352	308
Anaerolineaceae	510	1272	0	260	778	0
Pseudomonadaceae	348903	28808	88359	50157	69745	33214
Desulfocapsaceae	0	0	0	0	0	0
Pedosphaeraceae	5508	0	1877	1253	2288	207
Caulobacteraceae	0	0	0	2251	194	0
Xanthomonadaceae	49654	6227	4150	3753	38619	4157
Flavobacteriaceae	45973	6411	2955	13275	13866	3489
Rhizobiales_Incertae_Sedis	2130	355	390	1116	2696	180
Oxalobacteraceae	42461	12051	8815	10875	18508	2666
Alcanivoracaceae	0	0	0	0	0	0
Microscillaceae	0	763	0	0	0	0
Rhodanobacteraceae	3620	690	502	7705	2170	166
Moraxellaceae	1978	777	599	500	1939	282
Opitutaceae	3180	0	325	1625	648	967
Saccharimonadaceae	0	763	0	0	1556	0
Gemmatimonadaceae	6236	686	2569	2048	3727	0
Microbacteriaceae	18784	1956	799	19343	27920	3160
Blastocatellaceae	741	0	758	1137	755	376
Holophagaceae	11854	4816	2649	1137	4909	751
