	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86
Comamonadaceae	35781612	16442438	48200372	15270106	26370162	17034359
No_Rank	19133776	14147596	22919385	12335583	9718529	11853120
Rhodocyclaceae	18903825	8175515	29638728	11478395	8581530	8121944
67-14	27938	16846	46155	37900	47043	74697
Unassigned	6319972	6237871	9727329	5789461	4766852	3330243
Rhizobiaceae	1279809	1130622	2383168	393256	1200749	680743
Bdellovibrionaceae	1160457	553159	3382054	915222	1234622	795868
uncultured	2675843	1716269	4028273	2774125	2560646	1899997
Xanthobacteraceae	11800272	6100893	9665405	6587083	6229022	5422345
Solimonadaceae	28714	0	11888	0	4568	19359
Solirubrobacteraceae	0	16462	76925	24082	56177	44192
Pirellulaceae	5524127	4238817	7975724	2447720	2446229	3228114
Burkholderiaceae	372843	107170	151421	13948	76071	67011
Hyphomonadaceae	5397462	2303700	8271504	4159791	4112385	2468804
Chitinophagaceae	1264819	681904	3088932	1245013	1140930	812118
Hyphomicrobiaceae	6219654	3311487	7239922	2838533	2270405	2941961
Bacteriovoracaceae	715528	197550	1651095	472169	74904	421784
Nitrospiraceae	3264108	2220138	3874233	1893802	1753825	1353148
Syntrophomonadaceae	10649821	7702169	12158476	3487748	5363327	3009124
Saprospiraceae	3393938	2603205	6062636	1831638	1460187	1562695
Anaerolineaceae	6883139	10444064	6447733	3383665	3246560	4233881
Pseudomonadaceae	194669	414003	141607	152928	85100	94140
Desulfocapsaceae	17180717	5586611	8549759	3605249	2515098	6090489
Pedosphaeraceae	3661170	3133822	6484606	2140727	1707227	2230219
Caulobacteraceae	1117528	774693	2097961	3148835	1905025	2566679
Xanthomonadaceae	385582	300755	351192	84930	399081	213441
Flavobacteriaceae	48981	28086	95153	4774	24239	18513
Rhizobiales_Incertae_Sedis	2628750	1132629	2590607	944296	1421323	986745
Oxalobacteraceae	461155	455412	1111585	695989	311634	357875
Alcanivoracaceae	0	1564	0	3701	0	0
Microscillaceae	5715493	3924665	10889545	2747260	1346191	3681333
Rhodanobacteraceae	835242	674344	1362205	202489	553927	210924
Moraxellaceae	22498	3690	23310	13255	12834	4345
Opitutaceae	1099412	783245	2745998	921172	1094619	739150
Saccharimonadaceae	108648	77718	43358	55270	0	23074
Gemmatimonadaceae	823758	635803	902971	420660	568763	404569
Microbacteriaceae	27858	11505	23669	24345	14614	7295
Blastocatellaceae	631395	410727	1181375	439252	761357	494740
Holophagaceae	482213	1007674	404655	175547	234128	411208
Vicinamibacteraceae	1244062	863631	1147482	947785	660203	518828
Phycisphaeraceae	2319416	1843686	3050887	927909	910797	949455
Mycobacteriaceae	48074	67083	38370	31443	43247	33916
Beijerinckiaceae	1295115	1336949	728359	137277	417597	574467
Hydrogenedensaceae	594628	454699	1203852	566042	532430	269295
Nitrosomonadaceae	3414137	870498	2768131	607304	289224	910121
Anaerovoracaceae	616134	399665	935839	346631	362719	288154
Crocinitomicaceae	128516	106432	1043387	451008	95365	264216
cvE6	329413	523971	361564	157496	696750	96105
Rubinisphaeraceae	351555	202908	760162	180221	168302	260461
BSV26	1023407	1288922	1256858	550539	277581	889135
LWQ8	10865	0	125878	339124	15529	45757
Syntrophobacteraceae	2300243	6550151	2807072	275959	1324050	820294
Sphingomonadaceae	444429	136934	527138	382457	348926	229269
Myxococcaceae	895275	353825	1002179	573650	501248	438422
Thermoanaerobaculaceae	2313460	539307	3181571	1325801	1366630	178139
Nannocystaceae	360868	271826	586729	285039	455813	240126
env.OPS_17	316852	105905	2217137	289549	74724	201789
Parvibaculaceae	0	0	0	2764	0	0
A0839	514929	300060	643233	421442	211669	273560
SR-FBR-L83	670516	796707	846178	331622	509249	484943
Magnetospirillaceae	572732	739278	549666	1334979	508564	1126731
PHOS-HE36	2461664	2017995	749672	347020	179949	830270
Vermiphilaceae	685343	409594	906243	374778	217727	660556
Caldilineaceae	710091	656201	609107	593368	507194	730153
Micavibrionaceae	31515	14792	1485257	359522	395340	493718
Methylacidiphilaceae	2120678	726797	2741934	1836920	2292551	342938
Desulfovibrionaceae	554248	720885	912355	321144	638198	580225
Reyranellaceae	490973	177216	932056	290805	143822	512705
Haliangiaceae	79114	151243	43321	70944	69808	50228
Chthoniobacteraceae	731414	1045166	217566	232957	167618	678276
Rhodobacteraceae	78516	36945	188474	25838	63730	70678
Parachlamydiaceae	1041231	319596	1074559	214988	122586	214779
Verrucomicrobiaceae	546861	181855	638714	149627	242673	325378
Halomonadaceae	0	0	0	3322	0	0
Prolixibacteraceae	1149647	341715	761446	516329	263707	333204
Lentimicrobiaceae	640285	1357079	169175	652399	214279	511148
Spongiibacteraceae	249607	97920	258883	55422	106058	83106
Schlesneriaceae	480380	417685	730089	133242	206669	406530
WD2101_soil_group	544794	315467	367843	124753	159854	427453
Devosiaceae	107872	98392	203502	55073	96597	53384
Diplorickettsiaceae	143272	113883	124897	70842	116099	81194
SM2D12	412763	50899	137035	156075	44741	125080
JG30-KF-CM45	312963	158609	765560	299723	259026	224759
NS11-12_marine_group	33063	17331	107172	100332	39997	24414
A4b	538375	893140	541089	677902	205975	395963
AKYH767	308587	75917	695183	178589	58646	123458
Phaselicystidaceae	120253	222502	329914	116632	127515	120445
Fimbriimonadaceae	102070	64373	151053	99352	103183	41278
Simkaniaceae	165005	70686	276192	214105	132505	121101
Ignavibacteriaceae	367853	397014	665753	95934	96826	227218
Chromobacteriaceae	55696	25456	38379	5000	3073	7378
Sphingobacteriaceae	10147	0	19981	17449	4534	4829
Bryobacteraceae	381250	349025	304170	197396	394204	93404
Sporomusaceae	160232	255715	368768	199504	271273	228743
Polyangiaceae	964880	691970	284887	78576	36814	193767
Syntrophaceae	746570	555760	496518	89222	2111084	1945610
Dongiaceae	245753	97778	273668	146334	62419	107417
Rikenellaceae	343947	427023	112967	123342	81212	152731
Chitinimonadaceae	15521	12268	2238	8683	2192	6196
Ilumatobacteraceae	131155	52068	89513	113304	37907	47906
Rickettsiaceae	45697	28122	127135	49214	57879	71739
Legionellaceae	80809	50964	58272	194077	85491	179696
Leptospiraceae	455020	226508	261879	324309	203104	189062
Weeksellaceae	0	48239	15041	4146	14387	0
Atopobiaceae	87806	40254	89513	35869	45150	40449
NS9_marine_group	268177	430195	559870	159433	57565	62134
Paracaedibacteraceae	10188	0	74670	40817	35847	34690
Desulfobulbaceae	878499	839012	1476265	301421	495090	426869
UBA12409	110562	42131	21714	27400	105734	207328
Methylomonadaceae	137528	95284	55608	48607	174759	33703
Melioribacteraceae	302663	196784	1152480	47769	687373	156824
Bifidobacteriaceae	63814	55126	88114	31695	34711	27086
Lactobacillaceae	59469	47113	82458	33524	31879	27192
Steroidobacteraceae	311269	295560	250357	247927	26490	206492
Unknown_Family	279571	53969	256956	49542	45469	82600
Acanthopleuribacteraceae	60277	65791	0	17249	120611	82773
Omnitrophaceae	1294851	153139	220334	153410	88217	963958
Magnetococcaceae	1016363	667812	659773	147158	210956	94661
DEV007	361341	133436	299067	126410	96393	217872
Gemmataceae	172768	123459	337097	165807	91785	93646
Spirochaetaceae	242881	736066	426360	212673	434930	160988
Methylophilaceae	4656	0	0	0	0	0
Bacillaceae	72472	61176	21768	28061	27132	60734
Rhodospirillaceae	0	4441	49698	8617	5564	0
Alcaligenaceae	0	0	0	0	0	0
BSV40	107097	510336	39162	2764	32884	43019
Gaiellaceae	212640	90735	279728	46980	4567	109894
Acetobacteraceae	260067	162817	280519	24746	88536	115006
Parvularculaceae	150556	102221	173431	113699	165335	60618
Mitochondria	12048	23029	60671	63782	11688	76648
Desulfobaccaceae	943689	641653	539875	92775	219685	114197
37-13	113634	47462	408082	136671	105488	200564
Nocardiaceae	0	0	0	0	0	0
Holosporaceae	56644	30746	65317	59919	61438	68210
Zavarziniaceae	0	0	0	0	0	0
Gimesiaceae	223505	113514	295813	87841	48184	77434
Methylococcaceae	110834	173031	45455	13280	150097	0
Terrimicrobiaceae	147742	34599	302915	58902	251565	165635
Spirosomaceae	5232	0	0	0	0	0
Ferrovibrionaceae	20178	0	130074	227399	7764	41846
Sporichthyaceae	38925	27964	39460	12871	18183	11769
Sandaracinaceae	240563	131308	328681	79549	153110	119177
Caedibacteraceae	0	22155	35498	12825	0	23227
Sumerlaeaceae	103475	124994	251626	65077	54432	53573
Desulfomicrobiaceae	145900	89013	0	9080	265814	82323
Oligoflexaceae	42085	53538	112254	34663	50069	19280
Methyloligellaceae	79469	32408	14312	0	9560	18008
Christensenellaceae	156764	156556	56645	95539	85864	123371
Obscuribacteraceae	221124	187403	155829	328629	37956	116431
TRA3-20	52565	42880	58183	21898	11936	22213
Endomicrobiaceae	457252	192190	43358	32373	0	64920
Alteromonadaceae	12134	16219	33567	48236	1163	0
Puniceicoccaceae	36863	11486	4196	6909	119110	9777
Brocadiaceae	0	0	0	2764	0	0
Pyrinomonadaceae	13562	11894	23084	6899	6208	0
Coxiellaceae	20119	12791	19501	7307	31971	32918
Azospirillaceae	39451	43393	91611	15155	9378	19108
MSB-3C8	108436	55766	30016	38036	29405	35358
Geobacteraceae	52512	173319	12623	32922	35748	11295
Desulfarculaceae	99546	99170	178814	50640	283760	138260
SC-I-84	120443	31548	13427	6738	2923	25174
KD3-93	3214	20275	201106	12614	0	27306
Acidaminobacteraceae	3737	14392	0	7092	9388	5866
Desulfomonilaceae	341465	411177	163641	9870	63942	60227
Pleomorphomonadaceae	35374	42380	44886	36541	7223	0
Gallionellaceae	15933	12490	5128	2661	0	3442
Saccharospirillaceae	0	0	0	0	0	0
Z4MB62	25256	73794	86070	132103	46889	22271
Sulfuricellaceae	462638	34865	73475	13461	10231	266191
