#OTU ID	GB51	GB52	GB53	GB54	GB55	GB56
ASV1	1764	3358	2854	11768	4518	6432
ASV2	116483	153473	59458	136373	421100	97145
ASV3	29313	84440	120532	65015	24342	54448
ASV4	151617	956922	202503	99409	235599	311728
ASV5	31671	16639	6765	7884	8922	8140
ASV7	0	0	0	0	0	131
ASV8	16285	8319	3495	18739	8811	28819
ASV9	29088	396603	118785	92515	293626	67629
ASV10	70081	583491	121660	86611	383522	137275
ASV11	9760	6190	9665	12922	4065	5762
ASV12	42790	146003	56151	6741	83930	110436
ASV13	30216	26864	73960	103517	22816	60498
ASV14	0	0	0	0	0	0
ASV15	4324	3397	2762	9065	5911	7186
ASV16	106918	39551	112470	135839	172963	107411
ASV17	5026	0	0	4748	9153	5450
ASV19	8386	4246	5525	9465	1671	13474
ASV20	44678	10342	8410	24695	20013	10939
ASV21	135439	183840	167115	379652	435070	231515
ASV22	8257	12797	8109	12600	5457	13009
ASV23	116090	90870	76427	203959	98689	72891
ASV24	12890	11936	17495	16596	28484	16911
ASV25	2200	1494	1031	0	1726	1006
ASV26	0	0	0	2478	434	0
ASV27	0	0	0	0	0	0
ASV30	0	0	0	2400	0	0
ASV31	19893	18714	13341	21048	16076	18860
ASV32	0	0	0	0	0	0
ASV33	0	0	0	0	0	0
ASV34	6525	7235	2992	6228	12402	8283
ASV35	5798	2899	1746	1888	6937	3748
ASV36	0	0	0	0	0	0
ASV37	0	0	0	0	0	0
ASV38	0	0	639	10686	1717	1793
ASV39	0	0	0	0	0	0
ASV40	8199	43676	3946	4685	14319	6600
ASV41	0	0	0	0	0	0
ASV42	0	1114	0	0	1180	0
ASV43	4122	18812	14337	235908	11551	10237
ASV44	8194	8355	3801	7017	9866	8330
ASV45	10696	0	0	4217	1836	0
ASV47	35966	66727	40940	56995	33699	88259
ASV48	4511	5146	4609	6064	5056	4418
ASV49	0	0	0	0	0	0
ASV50	8255	2184	1973	6799	0	3465
ASV51	0	0	0	0	704	0
ASV52	59898	53729	17852	30470	71987	24880
ASV53	0	0	0	0	0	0
ASV54	2246	4783	1240	34165	6609	7590
ASV55	13629	93339	26639	9244	15110	19540
ASV56	18157	84618	18029	5278	17025	8403
ASV57	183923	191195	108402	165893	375035	126665
ASV58	54684	32311	35436	58900	22684	47403
ASV59	0	0	0	0	0	0
ASV60	0	0	0	0	0	0
ASV61	3032	8735	4172	9712	39101	5280
ASV62	0	0	0	0	0	0
ASV63	422563	123021	242305	1184163	35466	25794
ASV64	0	0	0	0	0	0
ASV65	395	0	0	0	0	0
ASV66	11667	23766	5766	0	8274	7207
ASV67	103585	269773	139222	101611	419092	106408
ASV68	2752	0	0	3199	0	0
ASV69	5809	10978	13900	7205	4448	4052
ASV70	1738	1238	0	0	0	0
ASV72	0	1820	31176	182763	1380493	0
ASV73	6093	1092	0	3200	0	3465
ASV74	63107	118351	57584	37952	206652	134090
ASV75	0	0	0	0	0	0
ASV77	1890	6037	12712	1538	5468	648
ASV79	78616	92007	36415	100409	145764	35029
ASV80	0	0	0	0	0	0
ASV81	0	499	0	0	0	176
ASV82	0	0	0	0	0	0
ASV83	7675	5090	2707	4590	4323	2489
ASV84	0	0	0	0	0	0
ASV85	0	0	0	1205	0	1082
ASV86	22740	16243	12393	29416	17204	18772
ASV87	1591	4200	4553	7853	7648	6936
ASV88	30716	108196	7979	20324	14957	28401
ASV90	0	495	805	0	0	655
ASV91	0	0	0	0	0	2976
ASV92	0	6794	1052	1733	0	257
ASV93	57117	48700	44558	76604	50858	43921
ASV94	0	0	0	505	0	0
ASV95	1830	3905	4953	6153	0	3974
ASV96	4043	7383	4397	6285	15200	9130
ASV97	0	0	0	0	0	0
ASV98	1353	5157	5272	3400	1795	4286
ASV99	5081	12875	6309	3945	2622	8512
ASV100	0	364	1184	0	0	3850
ASV101	0	0	0	0	0	0
ASV102	0	0	0	0	0	0
ASV103	0	0	0	0	0	0
ASV104	0	0	0	0	0	0
ASV105	0	0	0	0	0	0
ASV106	0	607	0	41858	3213	0
ASV107	0	409	887	5542	0	577
ASV108	11404	11907	9988	1975	3331	3090
ASV109	14653	14214	8290	5088	8326	3417
ASV110	12129	5511	8231	20225	7930	6380
ASV111	0	0	0	0	0	0
ASV112	485	899	0	1728	11898	1188
ASV113	48349	56415	11444	26795	52814	47353
ASV115	19313	4208	4676	12714	10808	7010
ASV116	0	1560	1015	15997	1652	7040
ASV117	0	4732	0	0	0	385
ASV118	0	0	0	0	0	0
ASV119	107115	484258	107538	86183	122205	130510
ASV120	31152	73660	42282	74135	165479	22130
ASV121	0	0	0	1600	0	0
ASV122	134041	328116	126085	28394	108327	64292
ASV123	0	0	0	0	0	0
ASV124	6963	2288	6427	16911	991	34319
ASV125	1179	910	3157	3200	771	1732
ASV126	7948	5370	0	6338	3792	0
ASV128	0	0	0	0	0	0
ASV129	0	728	0	0	0	0
ASV130	0	364	394	0	0	770
ASV131	4586	7037	6709	6799	2313	3978
ASV132	3628	13439	2833	33839	12455	9476
ASV133	25403	2352	23490	4489	40124	19380
ASV134	5615	1456	0	5370	1762	6710
ASV135	0	0	0	0	0	0
ASV136	0	0	0	0	0	463
ASV138	0	0	0	0	0	0
ASV139	0	0	0	0	0	0
ASV140	0	0	0	4776	0	0
ASV142	2397	1065	0	0	2163	1972
ASV144	2972	2841	1829	2536	2351	3193
ASV145	38915	27298	8682	60388	22359	20789
ASV146	0	5581	4473	0	7967	4620
ASV147	0	0	0	0	0	0
ASV148	0	0	0	0	0	0
ASV149	52476	81346	41634	43192	61296	35418
ASV150	3292	49748	9056	2278	3293	10511
ASV151	0	0	0	0	0	0
ASV152	4605	7799	20521	8341	3525	4840
ASV154	9630	43494	13615	15197	39322	12897
ASV155	9423	3864	1487	4793	12410	4878
ASV156	1966	1092	0	9398	3662	2502
ASV157	4981	2493	811	0	4621	1714
ASV158	0	0	0	0	0	0
ASV159	15409	4077	1578	12158	14186	4620
ASV160	22077	41258	16893	14518	24160	20832
ASV161	12566	27447	5822	16062	28755	11991
ASV162	0	0	0	0	0	0
ASV163	34591	16597	7262	60788	48728	29259
ASV164	7053	1729	833	1266	2187	1016
ASV165	0	0	0	0	0	524
ASV166	0	0	0	0	0	0
ASV167	55838	50955	13964	122232	75519	70087
ASV168	0	0	0	0	0	0
ASV169	0	0	0	0	0	0
ASV170	84316	54231	46764	207958	41442	92012
ASV171	8058	15650	10260	30194	3084	8084
ASV173	9249	138011	39999	31849	42737	30833
ASV174	0	0	0	0	0	0
ASV175	23136	4576	5074	18625	3525	2860
ASV176	10006	25015	14781	78675	9532	20859
ASV177	4511	7359	4960	10708	4213	6311
ASV178	1011	2184	5638	7884	2974	2640
ASV179	11793	17228	8156	78917	19275	10266
ASV180	30899	44183	37376	3653	37438	6941
ASV181	0	0	0	0	0	0
ASV182	21642	144224	61042	37895	47936	21196
ASV183	0	0	0	133	129	0
ASV184	73301	8099	11005	1239	0	0
ASV186	0	0	1078	3497	1896	1683
ASV187	8257	5922	20899	7572	2851	1253
ASV188	0	0	0	0	0	0
ASV189	57795	80771	33337	15705	29045	17228
ASV190	103577	30937	11247	98380	107556	62368
ASV191	11989	11647	4736	27994	72282	16170
ASV192	15491	29584	26827	114854	75962	107151
ASV193	0	7695	3044	1828	3745	0
ASV194	0	4610	2499	2799	3984	3080
ASV195	12945	788	14514	17208	2873	6386
ASV197	15920	22930	13023	16596	33154	14822
ASV198	19553	0	0	0	0	7107
ASV199	18557	52655	12420	12383	21721	13484
ASV201	1310	1213	1710	4932	6168	385
ASV202	0	0	3552	0	0	0
ASV203	9546	7453	4510	10093	25700	8066
ASV204	0	0	0	0	0	0
ASV205	0	0	0	0	0	0
ASV206	0	0	0	0	0	0
ASV207	4305	0	0	0	5874	5500
ASV208	25938	12751	11141	26117	52450	11523
ASV209	1089	2545	729	2005	3102	2387
ASV210	127800	10758	4666	122931	72543	78135
ASV211	4245	47752	1263	6079	44564	7392
ASV215	2159	4944	4220	4739	9025	1892
ASV217	524	728	197	1266	1928	578
ASV218	415	288	0	0	0	0
ASV219	2411	2718	3578	5332	4112	924
ASV220	1376	0	592	0	0	1155
ASV221	17520	5615	2368	10627	20046	13529
ASV222	1310	1335	2499	3333	0	0
ASV223	0	0	0	0	0	0
ASV224	0	0	0	0	0	0
ASV225	1348	208	3044	4571	48684	4400
ASV226	16500	48978	10962	12343	54970	17110
ASV227	9187	6246	4086	5206	2053	2278
ASV228	13281	10314	4946	1308	525	2308
ASV229	917	243	132	1466	0	770
ASV230	4455	1456	658	5332	2185	1155
ASV231	13747	3978	18330	39992	9690	11360
ASV232	590	0	0	7198	2313	3465
ASV233	9650	12641	9216	17960	8772	10374
ASV234	0	0	0	1088	0	0
ASV235	655	8493	4341	5732	49345	2182
ASV236	19916	2912	2894	23462	7453	8085
ASV237	31301	126265	30206	46904	105895	21151
ASV239	0	499	0	1096	0	0
ASV240	1027	4753	589	5074	8343	2586
ASV241	4717	9099	6577	10398	13878	3722
ASV242	20641	18281	10812	12600	33621	5801
ASV243	3144	10009	2960	3600	7903	2695
ASV244	3531	1744	709	13889	11080	3228
ASV245	5214	15103	8188	12515	3803	5369
ASV246	0	0	0	0	0	0
ASV247	0	0	0	0	0	0
ASV248	1071	802	1075	1556	450	799
ASV249	0	17118	0	3287	0	0
ASV250	29257	2825	28471	6757	14082	21974
ASV251	12972	18380	11247	14597	22360	12704
ASV252	15077	19611	12253	9496	26580	15294
ASV253	0	0	0	0	0	0
ASV254	6017	619	5772	0	3671	4321
ASV255	18366	14021	8734	65233	30651	11044
ASV256	3538	1456	3157	13197	0	0
ASV257	3407	3033	4473	8532	3984	2952
ASV258	37540	21474	14207	21196	35852	11164
ASV259	4422	1820	1381	3199	1928	4620
ASV260	4324	4550	0	8198	19276	4235
ASV261	0	0	0	0	0	0
ASV262	0	0	0	0	0	0
ASV263	69919	55722	39464	99096	59019	49060
ASV264	6454	8828	2503	8655	7192	2299
ASV265	0	0	0	0	0	0
ASV266	3141	3283	1017	11647	5862	18555
ASV267	10108	9775	9359	5027	12557	12869
ASV269	698	323	1751	3195	1255	228
ASV270	2752	7462	3552	4599	17348	5775
ASV271	6282	3490	1982	0	8626	2813
ASV272	0	0	0	0	0	0
ASV273	0	0	0	5125	428	1204
ASV274	17649	28102	18658	29790	74085	11262
ASV275	0	0	0	0	0	0
ASV276	2359	6794	6051	6665	5140	4620
ASV277	0	728	1184	4399	0	1925
ASV278	4789	7760	401	1218	25831	14071
ASV279	0	0	0	0	0	0
ASV280	0	0	0	0	0	0
ASV281	0	0	0	0	0	0
