	Tax_Genus	Phylum	Class	Order	Family	Genus
Unassigned	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter
uncultured_bacterium	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	No_Rank	No_Rank
uncultured_soil_bacterium	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	No_Rank
metagenome	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sterolibacterium
Sinimarinibacterium_sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Fontimonas
Bdellovibrio_bacteriovorus	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
bacterium_enrichment_culture_clone_SRAO_28	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	No_Rank
uncultured_organism	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
uncultured_Planctomycetales_bacterium	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
uncultured_prokaryote	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067
Aquabacterium_citratiphilum	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
Syntrophomonas_cellicola	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas
Flavobacterium_cauense	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
uncultured_delta_proteobacterium	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Herbaspirillum_sp._UKPF9c	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	uncultured
uncultured_actinobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Ahniella
Bacteriovorax_sp._F2	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax
uncultured_Myxococcales_bacterium	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis
Ignavibacteria_bacterium_RIFOXYC2_FULL_38_25	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	SR-FBR-L83	No_Rank
uncultured_planctomycete	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14
bacterium_enrichment_culture_clone_B176(2011)	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
Chlorobi_bacterium_OLB5	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	No_Rank	No_Rank
Candidatus_Magasanikbacteria_bacterium_RIFOXYD1_FULL_40_23	Bacteria	Patescibacteria	ABY1	Candidatus_Magasanikbacteria	No_Rank	No_Rank
gamma_proteobacterium_HdN1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	HdN1
Oleiharenicola_alkalitolerans	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera
denitrifying_bacterium_enrichment_culture_clone_NOB_2_A7	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	No_Rank
Sinobacteraceae_bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	uncultured
uncultured_Haliea_sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7_clade
Hyaloperonospora_arabidopsidis	Bacteria	Cyanobacteria	Sericytochromatia	No_Rank	No_Rank	No_Rank
Thermomonas_koreensis	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas
wastewater_metagenome	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	No_Rank
uncultured_Variovorax_sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia
uncultured_Saprospiraceae_bacterium	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
Atopobium_vaginae_DSM_15829	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
uncultured_beta_proteobacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
uncultured_Bacteroidetes_bacterium	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	No_Rank
bacterium_enrichment_culture_clone_SRAO_34	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured
bacterium_enrichment_culture_clone_KIST-JJY167	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured
unidentified_marine_bacterioplankton	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	No_Rank
Terrimonas_sp._16-45A	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Aurantisolimonas
uncultured_marine_bacterium	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	No_Rank	No_Rank
Solimonas_aquatica	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Solimonas
Dongia_rigui	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia
uncultured_Chloroflexi_bacterium	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea
Vogesella_fluminis	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Vogesella
uncultured_Verrucomicrobia_bacterium	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured
uncultured_Xanthomonadaceae_bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Fontimonas
Ignavibacteria_bacterium_RIFCSPLOWO2_12_FULL_56_21	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	No_Rank
Candidatus_Nomurabacteria_bacterium_GW2011_GWE1_32_28	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	No_Rank	No_Rank
uncultured_bacterium_PHOS-HE25	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula
uncultured_sludge_bacterium_A17	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured
Zavarzinia_compransoris	Bacteria	Proteobacteria	Alphaproteobacteria	Zavarziniales	Zavarziniaceae	Zavarzinia
uncultured_Parcubacteria_group_bacterium	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	No_Rank	No_Rank
uncultured_Pelobacter_sp.	Bacteria	Latescibacterota	No_Rank	No_Rank	No_Rank	No_Rank
uncultured_Chlorobiales_bacterium	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	BSV40	No_Rank
uncultured_verrucomicrobium_DEV006	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured
uncultured_Chlorobi_bacterium	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	No_Rank	No_Rank
