site	lon	lat	PBAT	PHB	PLA	PA	PHAs	PET	PS	PUR	PEG	total
14	140	43.43	0	50.0876239	0	0	0	0	0	0	0	50.0876239
18	110.00 	15.00 	7.892397692	123.6662249	19.85846631	3.815486538	0	9.373525692	0	0	2.996874231	167.6029754
24	140.00 	35.00 	0	100.4523747	0	0	0	0	0	0	0	100.4523747
22	12.1513	70	0	10.13715363	0	0	0	0	0	0	0	10.13715363
27	-70	31.42	0	0	0	0	0	0	0.006026333	9.149068667	0	9.155095
27	130	30.7	0	0	0	0	0	0	13.39478583	0	0	13.39478583
27	120	12	38.6554568	0	0	0.1459976	0	0	0	0	0	38.8014544
27	100	12	0.718391333	0	0	94.57804583	0	0	0	0	0	95.29643717
28	165	23	0	0	15.45143967	0	0	0.995714167	0	0	0	16.44715383
6	-139.2502667	45	136.182527	0	0	0	0	0	0	0	0	136.182527
7	90.00 	21.70 	47.52083787	1.575821533	0	0	48.11431953	32.40330547	0	0.296182467	0	129.9104669
4	140.00 	-33.14 	0	0	113.5931265	0	0	0	0	0	0	113.5931265
4	165.00 	-33.08 	8.194115	0	0	0	0	0	0	0	0	8.194115
