#OTU ID	GB11	GB12	GB14	GB21	GB22	GB23	GB24	GB25	GB26	GB31	GB32	GB33	GB34	GB35	GB36	GB41	GB42	GB43	GB44	GB45	GB46	GB51	GB52	GB53	GB54	GB55	GB56	GB61	GB62	GB63	GB64	GB65	GB66	GB71	GB72	GB73	GB74	GB75	GB76	GB81	GB82	GB83	GB84	GB85	GB86	PE11	PE12	PE14	PE15	PE16	PE21	PE22	PE23	PE24	PE25	PE26	PE31	PE32	PE33	PE34	PE35	PE36	PE41	PE42	PE43	PE44	PE45	PE46	PE51	PE52	PE53	PE54	PE55	PE56	PE61	PE62	PE63	PE64	PE65	PE66	PE71	PE72	PE73	PE74	PE75	PE76	PE81	PE82	PE83	PE84	PE85	PE86	PBS12	PBS13	PBS14	PBS15	PBS16	PBS21	PBS22	PBS23	PBS24	PBS25	PBS26	PBS31	PBS32	PBS33	PBS34	PBS35	PBS36	PBS41	PBS42	PBS43	PBS44	PBS45	PBS46	PBS51	PBS52	PBS53	PBS54	PBS55	PBS56	PBS61	PBS62	PBS63	PBS64	PBS65	PBS66	PBS71	PBS72	PBS73	PBS74	PBS75	PBS76	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86
ASV2	100589	51252	19397	747552	32558	33002	52033	253937	28767	326483	173505	343457	1884434	832513	460637	419135	254069	168023	100636	428990	66351	116483	153473	59458	136373	421100	97145	24735	19294	6085	18825	42918	14962	5205	1213	2264	2251	1386	606	819	2226	1253	1162	732	2560	29473	6897	3980	15056	16612	191180	92596	65044	58532	72813	157750	178557	565193	303931	728103	544943	1023740	600286	323527	387128	378832	742853	640487	226406	183582	242529	109873	250919	361440	65930	79825	75099	141475	70868	69127	10541	19990	22222	0	97324	42565	0	21655	15905	5340	14289	6240	79205	59577	245634	105041	125963	2909657	2020363	3318604	7684465	1490165	2135732	966000	1047413	1736859	2605956	38987659	2660837	8778201	14263616	5528755	5394166	30295145	3436527	1347430	12337900	1177835	2543723	7575854	656357	835950	201336	3614294	2624357	6704523	841160	197235	424063	143626	92567	493504	306076	84332	35988	102567	71194	126361	115500
ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	131	264	0	0	128	0	0	0	0	257	0	0	0	0	1893	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	813	0	0	0	0	3379	0	0	1997	0	0	3244	0	0	0	0	1342	1669	0	0	0	0	0	0	0	4691	0	0	2353	0	20072	5612	0	0	0	0	0	0	0	262	4193	4500	0	0	1482	1597	3234	0	7936	4034	0	1841	59818	87253	71301	4189	18603	0	421623	1221892	488730	208091	172606	13813718	7848383	7330170	25453897	2056956	16501241	1321656	9069673	13339879	7845020	8830859	20084114	6800958	6068051	2528102	5545086	1292195	2492415	1153430
ASV3	18492	8876	0	185643	28233	53457	11261	107553	4865	108716	132635	521654	163522	256507	343153	133548	83933	350227	21592	61731	112986	29313	84440	120532	65015	24342	54448	888	8051	2981	2151	3056	3346	603	1733	1833	107	1620	0	1053	1060	716	0	0	2426	31549	2737	0	4377	4561	197665	47990	20865	188192	31260	281496	3610857	1326370	2454191	6265685	4093815	5047598	11423411	6599979	6224647	4855326	4196597	7297181	4703959	5103849	4183533	1018011	3193008	3891801	511691	2979005	3055759	1483869	613226	996436	26203	447272	376355	21337	820683	709611	564764	516029	627361	23019	928590	16556	4013	1985	7241	3393	1651	83061	76709	41060	23108	27836	23805	334324	685939	1160634	213725	982460	340977	676383	670987	1585261	270306	681642	689905	34363	19451	36588	15984	12964	19585	7273	4123	20460	9603	8767	8517	0	14290	14039	8434	0	12179	0	10282	30371	0	16573	7375
ASV30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	0	1554	0	0	0	1234	0	0	0	1509	0	0	0	0	2596	0	1162	2636	4043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19417	0	0	0	0	6915	155622	91190	22660	45063	18054	63609	2193865	1874968	1435771	2405753	1362693	2058212	5414050	20226449	4304828	899744	3274100	6524076	3445300	18214728	2998439	5904829	26729293	928906	0	0	0	0	0	0	0	0	0	1980	0	0	0	11666	0	0	0	0	0	0	0	0	0	5044	0	0	0	0	0	14001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9135	0
ASV11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9760	6190	9665	12922	4065	5762	1850	3238	1901	768	3358	2390	431	1100	7701	0	4244	3463	10999	3154	12361	0	6425	2613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10580	0	0	9062	14059	0	80707	27119	12937	196534	82186	54288	44605	124182	43439	155252	40298	54617	51153	49931	37655	27506	64389	29869	66287	387993	41081	229138	50603	522528	449989	371009	81111	516	525	2960	404	0	127018	34014	32768	67707	5658	19957	140797	101306	128568	515247	412609	76341	1927135	899565	843190	1334648	1008218	391243	1547405	4857352	613449	1701564	696653	10114800	1441213	594250	5642189	2676974	2256731	591939	3060798	4795883	2632148	2258940	4225628	4887245	1129247	1459121	16188550	4103252	11535731	4743814
ASV20	12802	5802	0	97364	3336	13206	5118	4675	0	26954	13648	64301	33509	15714	19000	65578	13016	56690	2711	6405	6423	44678	10342	8410	24695	20013	10939	14861	6867	4072	2057	3597	4905	1614	884	1237	820	0	2981	5592	4662	11869	32586	3121	11046	24923	1884	1684	0	1277	169463	64166	38640	3804	22577	70205	782328	411044	782124	135978	538518	733181	2624530	744806	1458245	272690	860798	787350	1233623	272239	1023715	327869	940252	514383	974890	69976	184130	86317	149094	111334	222184	36927	44972	53108	75372	167467	74185	32248	20713	52263	39332	45304	8297	5907	41343	866	9472	714109	319577	499026	199957	136774	421726	1292687	948823	1049121	386183	7425666	507424	12320355	9410270	2185585	450292	9519087	1844146	2998627	2849515	632832	1700376	768833	597952	7165031	1649857	1438857	606732	4034940	2987726	1179246	255439	51044	71991	604777	509634	343502	64017	0	30202	107318	83345
ASV15	2779	3015	0	5341	1272	2079	5984	4148	1161	1696	925	3693	38653	8273	8754	2803	1853	3526	1399	2214	3539	4324	3397	2762	9065	5911	7186	0	1777	2111	4142	3017	4944	281	1617	1509	500	630	1576	4776	3091	10164	4001	3514	99993	0	0	0	0	908	1167	887	0	1676	1913	2940	0	5416	5686	8047	13284	27410	9483	3242	12808	6523	9020	17453	0	0	4598	0	0	12163	0	11092	0	0	0	4678	0	0	0	0	0	11705	0	29589	20364	6125	21875	84838	7971	17500	106677	14120	38906	113343	575875	1271762	767570	1171749	885195	398099	979175	1476311	561699	17109432	446804	2458317	3404255	10473527	1684643	21951661	117432	113029	1209907	728177	613253	1096119	1197353	248480	280294	1806655	4900619	1518098	2148632	161035	409102	775543	549022	461143	609273	1959293	1628637	5162382	585209	460836	268022
ASV25	0	0	892	285	0	0	0	0	0	0	0	2709	0	2058	1656	998	741	1974	0	583	0	2200	1494	1031	0	1726	1006	0	0	695	562	614	0	315	0	422	0	0	0	0	0	779	0	0	0	896	0	0	0	0	3630	4254	2307	0	6709	5295	27427	9807	23639	7102	19073	20287	16176	15060	29034	9128	18751	23223	44394	15956	41909	0	0	30910	7875	8653	24704	0	14166	0	3540	0	4460	0	11458	0	7485	0	0	2813	0	0	1558	0	1694	738	1725	118269	191649	174981	176239	163736	529087	948318	613289	1247457	275550	5233043	1013825	5963757	4756377	4339204	955012	3574267	1511296	1329676	3763871	2325616	1986521	2620777	2846738	1599238	658930	6024375	2580661	5259715	1654193	1139856	1794712	464999	973368	2814673	2246179	827025	493274	1741516	175445	795009	349932
ASV14	0	1376	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	1520	0	2514	1530	0	5525	28674	2680	72192	7580	1348	64123	46195	0	459394	6282	0	64006	1866821	258867	12730633	205868	535010	1266258	2275271	3499506	29837244	3404708	5759876	49921	4570598	85058	4138363	60408	121841	48052	197868	67112	295878	233660	8023	0	0	0	0	0	2585	1751	1592	2356	0	782	0	1768	0	0	5856	0	0	0	0	0	0	0	0	0	4176	5994	0	0	0	2004	0	0	0	0	4478	6733	6480	5193	0	0	0	0	0	0	0	0
ASV17	0	0	0	17073	0	0	1604	3729	353	5005	1991	11165	298670	21405	50501	15532	2175	0	2614	4638	5194	5026	0	0	4748	9153	5450	0	0	0	0	1127	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	1909	0	706	1397	23116	0	19640	0	93274	43516	251752	0	0	23248	33956	26477	0	0	0	0	13179	0	20264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693	0	1900	0	0	2864482	3560222	578047	8772251	1302952	752849	4080378	2434894	6250105	8544150	9531424	2022138	4142093	2750358	4143899	2145156	3188117	597379	120998	729380	137286	143053	697517	121193	0	9883	122907	88291	362095	178248	6390	22838	0	0	381977	142041	0	0	30016	14782	13139	0
