Samples	Treatment
GB11	GB
GB12	GB
GB14	GB
GB21	GB
GB22	GB
GB23	GB
GB24	GB
GB25	GB
GB26	GB
GB31	GB
GB32	GB
GB33	GB
GB34	GB
GB35	GB
GB36	GB
GB41	GB
GB42	GB
GB43	GB
GB44	GB
GB45	GB
GB46	GB
GB51	GB
GB52	GB
GB53	GB
GB54	GB
GB55	GB
GB56	GB
GB61	GB
GB62	GB
GB63	GB
GB64	GB
GB65	GB
GB66	GB
GB71	GB
GB72	GB
GB73	GB
GB74	GB
GB75	GB
GB76	GB
GB81	GB
GB82	GB
GB83	GB
GB84	GB
GB85	GB
GB86	GB
PE11	PE
PE12	PE
PE14	PE
PE15	PE
PE16	PE
PE21	PE
PE22	PE
PE23	PE
PE24	PE
PE25	PE
PE26	PE
PE31	PE
PE32	PE
PE33	PE
PE34	PE
PE35	PE
PE36	PE
PE41	PE
PE42	PE
PE43	PE
PE44	PE
PE45	PE
PE46	PE
PE51	PE
PE52	PE
PE53	PE
PE54	PE
PE55	PE
PE56	PE
PE61	PE
PE62	PE
PE63	PE
PE64	PE
PE65	PE
PE66	PE
PE71	PE
PE72	PE
PE73	PE
PE74	PE
PE75	PE
PE76	PE
PE81	PE
PE82	PE
PE83	PE
PE84	PE
PE85	PE
PE86	PE
PBS12	PBS
PBS13	PBS
PBS14	PBS
PBS15	PBS
PBS16	PBS
PBS21	PBS
PBS22	PBS
PBS23	PBS
PBS24	PBS
PBS25	PBS
PBS26	PBS
PBS31	PBS
PBS32	PBS
PBS33	PBS
PBS34	PBS
PBS35	PBS
PBS36	PBS
PBS41	PBS
PBS42	PBS
PBS43	PBS
PBS44	PBS
PBS45	PBS
PBS46	PBS
PBS51	PBS
PBS52	PBS
PBS53	PBS
PBS54	PBS
PBS55	PBS
PBS56	PBS
PBS61	PBS
PBS62	PBS
PBS63	PBS
PBS64	PBS
PBS65	PBS
PBS66	PBS
PBS71	PBS
PBS72	PBS
PBS73	PBS
PBS74	PBS
PBS75	PBS
PBS76	PBS
PBS81	PBS
PBS82	PBS
PBS83	PBS
PBS84	PBS
PBS85	PBS
PBS86	PBS
