""	"Comamonadaceae"	"No_Rank"	"Rhodocyclaceae"	"67-14"	"Unassigned"	"Rhizobiaceae"	"Bdellovibrionaceae"	"uncultured"	"Xanthobacteraceae"	"Solimonadaceae"	"Solirubrobacteraceae"	"Pirellulaceae"	"Burkholderiaceae"	"Hyphomonadaceae"	"Chitinophagaceae"	"Hyphomicrobiaceae"	"Bacteriovoracaceae"	"Nitrospiraceae"	"Saprospiraceae"	"Anaerolineaceae"	"Pseudomonadaceae"	"Pedosphaeraceae"	"Caulobacteraceae"	"Xanthomonadaceae"	"Flavobacteriaceae"	"Rhizobiales_Incertae_Sedis"	"Oxalobacteraceae"	"Microscillaceae"	"Rhodanobacteraceae"	"Moraxellaceae"	"Opitutaceae"	"Saccharimonadaceae"	"Gemmatimonadaceae"	"Microbacteriaceae"	"Blastocatellaceae"	"Holophagaceae"	"Vicinamibacteraceae"	"Mycobacteriaceae"	"Beijerinckiaceae"	"Hydrogenedensaceae"	"Nitrosomonadaceae"	"Crocinitomicaceae"	"cvE6"	"Rubinisphaeraceae"	"BSV26"	"Sphingomonadaceae"	"Myxococcaceae"	"env.OPS_17"	"A0839"	"Magnetospirillaceae"	"Caldilineaceae"	"Micavibrionaceae"	"Methylacidiphilaceae"	"Desulfovibrionaceae"	"Reyranellaceae"	"Haliangiaceae"	"Chthoniobacteraceae"	"Rhodobacteraceae"	"Parachlamydiaceae"	"Verrucomicrobiaceae"	"Prolixibacteraceae"	"Spongiibacteraceae"	"Schlesneriaceae"	"WD2101_soil_group"	"Devosiaceae"	"Diplorickettsiaceae"	"JG30-KF-CM45"	"NS11-12_marine_group"	"A4b"	"AKYH767"	"Phaselicystidaceae"	"Fimbriimonadaceae"	"Simkaniaceae"	"Chromobacteriaceae"	"Sphingobacteriaceae"	"Bryobacteraceae"	"Sporomusaceae"	"Polyangiaceae"	"Dongiaceae"	"Rikenellaceae"	"Chitinimonadaceae"	"Ilumatobacteraceae"	"Rickettsiaceae"	"Legionellaceae"	"Weeksellaceae"	"Atopobiaceae"	"NS9_marine_group"	"Paracaedibacteraceae"	"UBA12409"	"Methylomonadaceae"	"Bifidobacteriaceae"	"Lactobacillaceae"	"Steroidobacteraceae"	"Gemmataceae"	"Methylophilaceae"	"Bacillaceae"	"Rhodospirillaceae"	"Alcaligenaceae"	"Gaiellaceae"	"Acetobacteraceae"	"Mitochondria"	"Nocardiaceae"	"Holosporaceae"	"Spirosomaceae"	"Ferrovibrionaceae"	"Sporichthyaceae"	"Sandaracinaceae"	"Methyloligellaceae"	"Christensenellaceae"	"TRA3-20"	"Alteromonadaceae"	"Pyrinomonadaceae"	"Coxiellaceae"	"Azospirillaceae"	"Geobacteraceae"	"SC-I-84"	"KD3-93"	"Pleomorphomonadaceae"	"Gallionellaceae"	"Saccharospirillaceae"	"Enterobacteriaceae"	"Microtrichaceae"	"Aeromonadaceae"	"Cryomorphaceae"	"Roseiflexaceae"	"Ktedonobacteraceae"	"Defluviicoccaceae"	"Koribacteraceae"	"Nocardioidaceae"	"Gracilibacteraceae"	"Hungateiclostridiaceae"	"Neisseriaceae"	"Micrococcaceae"	"Clostridiaceae"	"Sutterellaceae"	"Isosphaeraceae"	"Rubritaleaceae"	"Silvanigrellaceae"	"Solibacteraceae"	"Oleiphilaceae"	"Peptostreptococcaceae"	"Leeiaceae"	"Alicyclobacillaceae"	"Lachnospiraceae"	"Bacteroidaceae"	"Ruminococcaceae"	"Fibrobacteraceae"	"Erysipelotrichaceae"	"Bacteroidetes_vadinHA17"	"Thermaceae"	"Kineosporiaceae"	"Oscillospiraceae"	"Prevotellaceae"	"Symbiobacteraceae"	"Cellvibrionaceae"	"Micropepsaceae"	"Paenibacillaceae"	"Arcobacteraceae"	"Armatimonadaceae"	"Intrasporangiaceae"	"Shewanellaceae"	"Iamiaceae"	"Lenti-02"	"Enterococcaceae"	"Staphylococcaceae"	"Rubrobacteriaceae"	"Nostocaceae"	"UCG-010"	"Streptococcaceae"	"Tannerellaceae"	"Paludibacteraceae"	"Muribaculaceae"	"Micromonosporaceae"	"Syntrophorhabdaceae"	"Planococcaceae"	"[Eubacterium]_coprostanoligenes_group"	"Akkermansiaceae"	"Piscirickettsiaceae"	"Helicobacteraceae"	"Corynebacteriaceae"	"Bacteroidales_RF16_group"	"Carnobacteriaceae"	"Butyricicoccaceae"	"Monoglobaceae"	"Entotheonellaceae"	"Labraceae"	"Actinomycetaceae"	"Yersiniaceae"
"Comamonadaceae"	0	0.828571428571429	1	0	0.942857142857143	0.942857142857143	0.885714285714286	0	0.927633657043918	0	0	0	0	0	1	0	0	0	0.811679449913428	0	0.885714285714286	0.942857142857143	0	0	0	0.885714285714286	0	0	0	0.828571428571429	0	0	1	0	0	0.828571428571429	0	0.942857142857143	0.885714285714286	0	0.927633657043918	0.942857142857143	0.845154254728517	0.880406274042429	0	0.885714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0.880406274042429	0	0	0	0	0	0	0	0	0	0	0.912159323821574	0	0	0.885714285714286	0.942857142857143	0	0	0	0	0	0	0.828571428571429	0	0.94112394811432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927633657043918	0	0	0	0.942857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0.811679449913428	0	0	0	0	0.912159323821574	0	0	0	0	0	0	0	0	0	-0.828571428571429	0	0	0.885714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"No_Rank"	0.828571428571429	0	0.828571428571429	0	0	0	0	0.942857142857143	0	0	0.880406274042429	0	0	0	0.828571428571429	0	0.885714285714286	0	0	0	0	0	0	0.828571428571429	0	0	0.942857142857143	0	0	1	0	0	0.828571428571429	0	0	1	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0.927633657043918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942857142857143	0	0	0	0	0	0.885714285714286	0	0.819688599970537	0	0	0	0	0.885714285714286	0	0	0	0	0	0	0.885714285714286	0	0	0	0	0	0.927633657043918	0	0	0.942857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhodocyclaceae"	1	0.828571428571429	0	0	0.942857142857143	0.942857142857143	0.885714285714286	0	0.927633657043918	0	0	0	0	0	1	0	0	0	0.811679449913428	0	0.885714285714286	0.942857142857143	0	0	0	0.885714285714286	0	0	0	0.828571428571429	0	0	1	0	0	0.828571428571429	0	0.942857142857143	0.885714285714286	0	0.927633657043918	0.942857142857143	0.845154254728517	0.880406274042429	0	0.885714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0.880406274042429	0	0	0	0	0	0	0	0	0	0	0.912159323821574	0	0	0.885714285714286	0.942857142857143	0	0	0	0	0	0	0.828571428571429	0	0.94112394811432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927633657043918	0	0	0	0.942857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0.811679449913428	0	0	0	0	0.912159323821574	0	0	0	0	0	0	0	0	0	-0.828571428571429	0	0	0.885714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"67-14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0.92	0	0	0	0	0	0	0.857492925712544	0	0	0	0	0.857492925712544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.826184389323165	0	0	1	0.92	1	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unassigned"	0.942857142857143	0	0.942857142857143	0	0	1	0.942857142857143	0.828571428571429	0.811679449913428	0	0	0	0	0	0.942857142857143	0	0	0	0	0	0	0.885714285714286	0	0	0.828571428571429	0.942857142857143	0.828571428571429	0	0	0	0	0	0.942857142857143	0	0	0	0	0.885714285714286	0.828571428571429	0	0.985610760609162	1	0.845154254728517	0	0	0.942857142857143	0	0	0	0	0	0	0	0	0	0	0	0.885714285714286	0	0	0.811679449913428	0	0	0	0	0	0	0	0	0.912159323821574	0	0	0	1	0	0	0	0	0.880406274042429	0	0	0	0.819688599970537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811679449913428	0	0	0	0.828571428571429	0	0	0	0	0	0	0	0	0	0	0.880406274042429	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0.912159323821574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhizobiaceae"	0.942857142857143	0	0.942857142857143	0	1	0	0.942857142857143	0.828571428571429	0.811679449913428	0	0	0	0	0	0.942857142857143	0	0	0	0	0	0	0.885714285714286	0	0	0.828571428571429	0.942857142857143	0.828571428571429	0	0	0	0	0	0.942857142857143	0	0	0	0	0.885714285714286	0.828571428571429	0	0.985610760609162	1	0.845154254728517	0	0	0.942857142857143	0	0	0	0	0	0	0	0	0	0	0	0.885714285714286	0	0	0.811679449913428	0	0	0	0	0	0	0	0	0.912159323821574	0	0	0	1	0	0	0	0	0.880406274042429	0	0	0	0.819688599970537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811679449913428	0	0	0	0.828571428571429	0	0	0	0	0	0	0	0	0	0	0.880406274042429	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0.912159323821574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bdellovibrionaceae"	0.885714285714286	0	0.885714285714286	0	0.942857142857143	0.942857142857143	0	0	0	0	0	0	0	0	0.885714285714286	0	0	0	0	0	0	0.828571428571429	0	0	0	1	0	0	0	0	0	0	0.885714285714286	0	0	0	0	0.828571428571429	0.885714285714286	0	0.927633657043918	0.942857142857143	0	0	0	1	0	0	0	0.811679449913428	0	0	0	0	0.880406274042429	0	0	0.942857142857143	0.819688599970537	0	0	0	0	0	0	0	0	0	0	0.971008312455224	0.880406274042429	0	0	0.942857142857143	0	0.880406274042429	0	0	0.94112394811432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811679449913428	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94112394811432	0.845154254728517	0	0	0	0	0	0	0	0	0	0	0	0	0.811679449913428	0	0	0	0	0.971008312455224	0	0	0	0	0	0.845154254728517	0	0.885714285714286	0	-0.828571428571429	0	0.845154254728517	0	0	0	0	0	0.811679449913428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"uncultured"	0	0.942857142857143	0	0	0.828571428571429	0.828571428571429	0	0	0	0	0.880406274042429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.885714285714286	0	1	0	0	0.942857142857143	0	0	0	0	0	0.942857142857143	0	0	0	0	0	0.828571428571429	0.845154254728517	0	0	0	0	0	0	0.927633657043918	0	0	0	0	0	0	0	0.885714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828571428571429	0.828571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927633657043918	0	0	0.828571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.833238089795296	0	0	0	0	0	0	0
"Xanthobacteraceae"	0.927633657043918	0	0.927633657043918	0	0.811679449913428	0.811679449913428	0	0	0	0	0	0	0	0	0.927633657043918	0.823529411764706	0	0.898645105261295	0	0	0.985610760609162	0.927633657043918	0	0	0	0	0	0	0	0	0	0	0.927633657043918	0	0	0	0.831655489905492	0.927633657043918	0.811679449913428	0	0.823529411764706	0.811679449913428	0	0.954863710632231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.823529411764706	0	0	0	0	0	0	0.898645105261295	0	0	0	0	0.985610760609162	0.811679449913428	0	0	0	0	0	0	0	0	0.893259600268861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.84066800169605	0	0	0	0	-0.831655489905492	0	0.869656553478673	0	0	0	0	0	0	0	0.831655489905492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.985610760609162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Solimonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
