	Genus	igraph.degree	igraph.closeness	igraph.betweenness	igraph.cen.degree	id	z	module	p	roles	label	role_7	Tax_Genus	Phylum	Class	Order	Family
102	Unassigned	10	0.328125	119.225246433314	10	1	-0.771302479936147	8	0.4032	Peripherals		peripheral	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae
232	uncultured_bacterium	10	0.312396694214876	63.5623029130263	10	2	-0.910578445580232	7	0	Peripherals		ultra peripheral	Bacteria	Patescibacteria	Gracilibacteria	JGI_0000069-P22	No_Rank
276	uncultured_soil_bacterium	8	0.326989619377163	257.003784928629	8	3	-1.26858960515814	8	0.095	Peripherals		peripheral	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14
136	metagenome	12	0.344890510948905	268.747735329749	12	4	-0.274015354714157	8	0.375	Peripherals		peripheral	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae
92	Sinimarinibacterium_sp.	16	0.329842931937173	41.5513108849726	16	5	0.720558895729821	8	0.4032	Peripherals		peripheral	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae
10	Bdellovibrio_bacteriovorus	18	0.35195530726257	143.683070849837	18	6	0.552709187491932	7	0	Peripherals		ultra peripheral	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae
123	bacterium_enrichment_culture_clone_SRAO_28	12	0.353271028037383	292.245834990651	12	7	-0.544756537312191	7	0	Peripherals		ultra peripheral	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured
259	uncultured_organism	8	0.306818181818182	137.189960812978	8	8	-1.26858960515814	8	0.0798611111111112	Peripherals		peripheral	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae
206	uncultured_Planctomycetales_bacterium	11	0.344262295081967	131.815326733996	11	9	-0.522658917325152	8	0.375	Peripherals		peripheral	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae
261	uncultured_prokaryote	22	0.37875751503006	171.330013914728	22	10	1.28435300402801	7	0.345679012345679	Peripherals		peripheral	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae
