	PE81	PE82	PE83	PE84	PE85	PE86
Unassigned	51604622	91409769	77697130	79705762	88784108	61662622
uncultured_bacterium	6913369	12885178	10718304	8941275	11783342	11268771
uncultured_soil_bacterium	20330543	42799045	17465982	21773219	44595594	19304663
metagenome	2335234	3592572	2855490	3020264	4413492	2419005
Sinimarinibacterium_sp.	48052	272998	67112	411072	329188	8023
Bdellovibrio_bacteriovorus	8640	29999	35234	55548	0	51177
bacterium_enrichment_culture_clone_SRAO_28	19419	20893	28974	14350	9403	1131
uncultured_organism	1488225	1454417	1646786	1710482	1971640	1778966
uncultured_Planctomycetales_bacterium	143697	566755	241344	435384	174631	270637
uncultured_prokaryote	826732	655188	1060515	386686	1803884	449164
Aquabacterium_citratiphilum	6265	42931	9301	6731	73489	0
Syntrophomonas_cellicola	0	0	0	0	0	0
Flavobacterium_cauense	3728	4776	25495	0	8784	0
uncultured_delta_proteobacterium	238264	125468	269405	145725	324632	91629
Herbaspirillum_sp._UKPF9c	0	0	0	0	0	0
uncultured_actinobacterium	7410	11222	17990	0	19631	3272
Bacteriovorax_sp._F2	0	3720	0	0	0	0
uncultured_Myxococcales_bacterium	0	17605	25846	8010	12172	10252
Ignavibacteria_bacterium_RIFOXYC2_FULL_38_25	37322	231093	93645	25913	393755	0
uncultured_planctomycete	31906	57435	61004	37279	56275	38831
bacterium_enrichment_culture_clone_B176(2011)	25239	146334	25586	64107	36439	35805
Chlorobi_bacterium_OLB5	391753	273315	443488	274294	480666	85686
Candidatus_Magasanikbacteria_bacterium_RIFOXYD1_FULL_40_23	4474	0	0	4088	0	0
gamma_proteobacterium_HdN1	126837	21577	23154	9740	105467	1821
Oleiharenicola_alkalitolerans	73479	313662	214419	155870	129664	20058
denitrifying_bacterium_enrichment_culture_clone_NOB_2_A7	246258	268561	452424	430912	308789	197833
Sinobacteraceae_bacterium	18194	7438	0	0	69860	0
uncultured_Haliea_sp.	58316	40054	72571	88565	157755	26894
Hyaloperonospora_arabidopsidis	0	0	0	0	0	0
Thermomonas_koreensis	3266	0	0	0	0	0
wastewater_metagenome	27829	94551	47496	73100	75728	62398
uncultured_Variovorax_sp.	0	0	0	0	0	0
uncultured_Saprospiraceae_bacterium	21256	11738	46968	6272	35700	2374
Atopobium_vaginae_DSM_15829	13596	29471	253034	26922	19053	11717
uncultured_beta_proteobacterium	33098	21725	23965	39674	53839	26964
uncultured_Bacteroidetes_bacterium	139318	118402	77678	97610	569368	252769
bacterium_enrichment_culture_clone_SRAO_34	310005	108572	520341	82241	132467	7517
bacterium_enrichment_culture_clone_KIST-JJY167	15971	158601	43790	42446	179750	122074
unidentified_marine_bacterioplankton	0	7439	8027	39105	0	10698
Terrimonas_sp._16-45A	0	0	0	0	2900	1985
uncultured_marine_bacterium	19172	52761	4887	77233	24408	279041
Solimonas_aquatica	0	0	0	5654	0	0
Dongia_rigui	32501	42152	114307	103965	97557	23475
uncultured_Chloroflexi_bacterium	41824	33817	33593	17903	33519	6840
Vogesella_fluminis	0	0	7177	0	4608	294
uncultured_Verrucomicrobia_bacterium	77657	39795	72449	13639	232442	26600
uncultured_Xanthomonadaceae_bacterium	0	37441	4682	0	18259	3343
Ignavibacteria_bacterium_RIFCSPLOWO2_12_FULL_56_21	206635	274675	302989	250631	422667	260316
Candidatus_Nomurabacteria_bacterium_GW2011_GWE1_32_28	0	0	13032	0	4592	0
uncultured_bacterium_PHOS-HE25	0	36177	5483	25102	23859	6211
uncultured_sludge_bacterium_A17	13450	17423	7232	19950	18118	0
Zavarzinia_compransoris	0	0	0	0	0	0
uncultured_Parcubacteria_group_bacterium	11291	8831	15475	24311	9667	1832
uncultured_Pelobacter_sp.	21089	12001	29728	15704	11116	12008
uncultured_Chlorobiales_bacterium	2556	7439	0	2797	14289	1425
uncultured_verrucomicrobium_DEV006	27992	61658	35675	9737	32989	22881
uncultured_Chlorobi_bacterium	0	24229	0	1076	20962	1832
uncultured_Chloroflexia_bacterium	21089	37781	19141	12908	11116	97441
uncultured_Verrucomicrobiales_bacterium	2177	8265	14864	5811	16406	2972
microbial_mat_metagenome	0	0	1832	0	14983	0
magnetic_coccus_MP17	0	0	15845	0	0	0
uncultured_Rhodocyclaceae_bacterium	0	0	0	0	58856	0
uncultured_Cytophagaceae_bacterium	0	0	0	0	0	0
uncultured_Hyphomicrobium_sp.	0	0	0	0	0	0
uncultured_Polyangiaceae_bacterium	0	0	0	0	0	0
uncultured_gamma_proteobacterium	56905	152111	82519	85413	44572	92354
Omnitrophica_bacterium_OLB16	87979	26720	84502	10757	105123	4885
bacterium_enrichment_culture_clone_DPF35	0	0	0	0	0	0
Candidatus_Nomurabacteria_bacterium_GW2011_GWB1_35_20	23007	9511	4887	13984	11117	10584
uncultured_spirochete	5113	0	0	0	34316	0
uncultured_sludge_bacterium_S41	26747	74056	76700	80094	65626	57648
uncultured_Planctomycetaceae_bacterium	68285	177651	55468	78468	47043	130750
